alloy,temp(c),Yield st(MPa)
6061,15.85014,317.96116
,19.69261,319.41748
,23.53507,321.35922
,27.85782,321.35922
,32.1806,320.87379
,36.02305,318.4466
,40.34583,318.4466
,43.22766,318.4466
,47.55044,318.4466
,50.91259,318.4466
,56.67627,316.99029
,60.03842,316.99029
,63.88089,316.50485
,69.64457,316.01941
,74.92794,315.04855
,79.25072,315.53398
,84.05379,316.50485
,87.41596,316.99029
,91.2584,316.50485
,94.62057,315.53398
,98.94331,313.59223
,101.82518,311.65048
,104.70702,309.70874
,109.02979,308.25242
,113.83287,306.79612
,117.67531,304.85437
,122.47838,303.88349
,124.87992,302.42719
,128.72239,300
,134.00576,300
,138.32854,300
,144.57251,299.02912
,149.37558,295.63107
,152.73776,293.68932
,158.50143,291.26213
,163.30451,288.34952
,168.58788,286.8932
,172.43035,284.46602
,175.31219,283.49515
,180.59556,281.06797
,184.91834,280.58253
,184.91834,275.24272
,186.35927,271.35923
,187.31987,266.99029
,190.20171,263.1068
,191.64265,259.22331
,193.08358,255.33981
,195.48512,249.51457
,197.40632,243.68932
,199.32756,239.32039
,202.20939,235.92233
,202.68973,230.09708
,206.05187,226.21359
,207.01247,223.30098
,208.93371,217.47573
,211.33524,213.10679
,212.77618,209.2233
,215.17772,204.36893
,216.13832,201.45632
,217.57925,198.05826
,219.50049,194.6602
,220.46109,190.29126
,223.82323,186.40777
,224.78386,183.0097
,225.74446,179.61166
,230.06724,177.18448
,230.06724,171.84466
,232.94907,166.50486
,237.27185,160.67962
,238.71278,156.79612
,241.59462,152.91263
,244.47646,149.51457
,247.35829,144.6602
,249.27953,139.80583
,252.64167,136.40777
,253.60231,133.00971
,256.00384,129.61165
,258.40538,124.27185
,260.80692,121.35924
,262.72815,117.96117
,265.12969,115.04854
,266.57059,112.13593
,269.45243,106.79613
,273.7752,101.45631
,276.65704,99.02913
,282.90105,95.14564
,282.90105,90.29127
,286.74352,86.89321
,292.02689,84.46602
,295.38903,82.03884
,298.75121,79.61165
,303.55428,75.72814
,305.95582,71.84467
,309.79825,69.41749
,313.16043,66.9903
,317.48316,64.56312
,320.84534,60.67961
,325.16811,59.22332
,327.56965,54.85438
,331.89238,52.91263
,334.77426,49.02912
,339.09699,45.63107
,344.38041,44.66021
,346.78194,42.71846
,350.14408,39.32038
,353.02592,37.86409
,357.82899,34.95148
,363.11236,32.03883
,368.39574,29.61164
,372.23821,26.69903
,377.04128,24.75727
,381.36409,23.30098
,387.60803,18.93205
,393.37178,16.01943
,398.17485,13.10682
,404.89913,12.13592
,409.22186,10.67963
,413.54467,9.70874
,418.82801,9.70874
,424.59176,9.70874
,434.19791,9.70874
,443.80405,7.28155
,451.00866,7.76698
,458.69354,8.73788
